"branch_name","tipo","scope","descripcion","referencia","estado","observaciones"
"codex/sdu-agents-runtime-connections-teams-codex-cloud-dev-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=4d307cd;date=2026-06-03;ahead=0;behind=159;protected=false"
"codex/sdu-agents-teams-identity-mcp-codex-cloud-dev-activation-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=2ac5537;date=2026-06-03;ahead=0;behind=154;protected=false"
"codex/sdu-cn-canonical-agents-multirepo-multiuniverse-20260604","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=bc9b6c3;date=2026-06-04;ahead=0;behind=136;protected=false"
"codex/sdu-teams-mcp-codex-cloud-dev-live-smoke-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=b1e06bf;date=2026-06-03;ahead=0;behind=152;protected=false"
"codex/sdu-vsi-aac-reconcile-20260608","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=a478d1d;date=2026-06-08;ahead=0;behind=10;protected=false"
"codex/second-skill-recipe-agent-propagation-closeout-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=d579d57;date=2026-06-03;ahead=0;behind=167;protected=false"
"codex/session-worktree-parking-20260605","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;DUPLICA_SHA_CON=codex/agent-global-gate-packet-microsoft-live-write-20260605;sources=local;head=6b644a1;date=2026-06-05;ahead=0;behind=103"
"codex/shared-index-integration-issues-12-15-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=b504347;date=2026-06-02;ahead=0;behind=292;protected=false"
"codex/skill-availability-drift-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=b28fa38;date=2026-06-02;ahead=0;behind=265;protected=false"
"codex/skill-description-metadata-issue-10","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=1d8d2f3;date=2026-06-01;ahead=0;behind=306;protected=false"
"codex/skill-recipe-agent-propagation-plan-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=f153532;date=2026-06-03;ahead=0;behind=171;protected=false"
"codex/skill-reference-library-issue-12","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=5ae9111;date=2026-06-01;ahead=0;behind=296;protected=false"
"codex/skills-storage-and-agent-assignment-20260601","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=2ee1e96;date=2026-06-01;ahead=0;behind=317;protected=false"
"codex/teams-governance-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=a6f5adb;date=2026-06-02;ahead=0;behind=284;protected=false"
"codex/teams-lanes-cross-repo-audit-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=bfd0b70;date=2026-06-02;ahead=0;behind=277;protected=false"
